GEOID,P006002_White,P006003_Black,Dissimilarity_Index
39049001000,5355,242,0.005030936
39049001110,3054,109,0.005051471
39049001121,6289,364,0.007264344
39049001122,2154,366,0.003655229
39049001200,4409,199,0.004322678
39049001300,5799,453,0.005265732
39049001400,256,1307,0.007162658
39049001500,126,1847,0.00265154
39049001600,542,1069,0.00118349
39049001700,1743,630,0.003170912
39049001810,3265,333,0.002893028
39049001820,2239,206,0.002586798
39049001902,3127,118,0.003069676
39049002100,1676,57,0.002089102
39049002200,1510,298,0.000713991
39049002520,545,2150,0.002168998
39049002600,1071,2322,0.000943874
39049002710,483,1236,0.001019438
39049002750,803,1507,0.001586565
39049002760,1789,1211,0.001494991
39049002770,608,1362,0.000659548
39049003000,2178,829,0.00034293
39049003200,1839,162,0.000439512
39049004300,4699,586,0.001087249
39049004500,4243,850,0.002376616
39049004610,3046,246,0.003510513
39049004620,2070,493,0.003432354
39049004700,2988,1815,7.90E-05
39049004810,2433,346,0.008694144
39049004820,1903,559,0.006083896
39049004900,4094,1401,0.004005387
39049005000,4282,941,0.005030936
39049000920,499,1574,0.005030936
39049001901,1744,114,0.005030936
39049002000,2911,262,0.005030936
39049002300,192,1249,0.005030936
39049002510,426,2326,0.005030936
39049002730,646,1428,0.005030936
39049002740,1770,509,0.005030936
39049002780,1479,923,0.005030936
39049002800,346,2301,0.005030936
39049002900,149,2168,0.005030936
39049003600,283,1173,0.005030936
39049003700,1083,2241,0.005030936
39049003800,995,896,0.005030936
39049004000,1975,845,0.005030936
39049004200,554,844,0.005030936
